Statistical profiling result from isolate-0x3123660-v8.log, (621 ticks, 33 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.3%    0.4%  v8::internal::compiler::LiveRange::FirstIntersection(v8::internal::compiler::LiveRange*) const
      2    0.3%    0.4%  v8::internal::compiler::CodeGenerator::AssembleArchInstruction(v8::internal::compiler::Instruction*)
      2    0.3%    0.4%  v8::internal::ScopeInfo::Create(v8::internal::Isolate*, v8::internal::Zone*, v8::internal::Scope*, v8::internal::MaybeHandle<v8::internal::ScopeInfo>)
      2    0.3%    0.4%  v8::internal::Scope::LookupRecursive(v8::internal::VariableProxy*, v8::internal::Scope*)
      2    0.3%    0.4%  v8::internal::PrototypeIterator::Advance()
      2    0.3%    0.4%  v8::internal::ParserBase<v8::internal::Parser>::ParsePostfixExpression(bool*)
      2    0.3%    0.4%  v8::internal::ParserBase<v8::internal::Parser>::ParseBinaryExpression(int, bool, bool*)
      2    0.3%    0.4%  v8::internal::ParserBase<v8::internal::Parser>::ParseAndClassifyIdentifier(bool*)
      2    0.3%    0.4%  v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, bool*, v8::internal::LookupIterator::Configuration)
      2    0.3%    0.4%  v8::internal::JSObject::DefineOwnPropertyIgnoreAttributes(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::ShouldThrow, v8::internal::JSObject::AccessorInfoHandling)
      2    0.3%    0.4%  v8::internal::HeapObject::SizeFromMap(v8::internal::Map*)
      2    0.3%    0.4%  v8::internal::Heap::Scavenge()
      2    0.3%    0.4%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
      2    0.3%    0.4%  v8::internal::HTemplateControlInstruction<1, 0>::SuccessorCount() const
      2    0.3%    0.4%  v8::internal::HFlowEngine<v8::internal::HLoadEliminationTable, v8::internal::HLoadEliminationEffects>::AnalyzeDominatedBlocks(v8::internal::HBasicBlock*, v8::internal::HLoadEliminationTable*)
      2    0.3%    0.4%  v8::internal::FullCodeGenerator::EmitVariableLoad(v8::internal::VariableProxy*, v8::internal::TypeofMode)
      2    0.3%    0.4%  v8::internal::DeclarationScope::DeclareParameter(v8::internal::AstRawString const*, v8::internal::VariableMode, bool, bool, bool*, v8::internal::AstValueFactory*)
      2    0.3%    0.4%  v8::internal::CodeStub::FindCodeInCache(v8::internal::Code**)
      2    0.3%    0.4%  v8::internal::BitVector::Iterator::Advance()
      2    0.3%    0.4%  v8::internal::AstValueFactory::GetString(unsigned int, bool, v8::internal::Vector<unsigned char const>)
      2    0.3%    0.4%  std::pair<std::_Rb_tree_iterator<v8::internal::compiler::InstructionOperand>, bool> std::_Rb_tree<v8::internal::compiler::InstructionOperand, v8::internal::compiler::InstructionOperand, std::_Identity<v8::internal::compiler::InstructionOperand>, v8::internal::compiler::CompareOperandModuloType, v8::internal::zone_allocator<v8::internal::compiler::InstructionOperand> >::_M_insert_unique<v8::internal::compiler::InstructionOperand const&>(v8::internal::compiler::InstructionOperand const&)
      2    0.3%    0.4%  node::Buffer::Utf8Slice(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.3%    0.4%  int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
      2    0.3%    0.4%  _IO_default_xsputn
      1    0.2%    0.2%  void v8::internal::String::WriteToFlat<unsigned short>(v8::internal::String*, unsigned short*, int, int)
      1    0.2%    0.2%  void v8::internal::Scanner::Advance<false, true>()
      1    0.2%    0.2%  void v8::internal::LookupIterator::Start<true>()
      1    0.2%    0.2%  void v8::internal::LookupIterator::Start<false>()
      1    0.2%    0.2%  v8::internal::tracing::TraceEventHelper::GetCurrentPlatform()
      1    0.2%    0.2%  v8::internal::compiler::Verifier::Visitor::Check(v8::internal::compiler::Node*)
      1    0.2%    0.2%  v8::internal::compiler::SpecialRPONumberer::ComputeAndInsertSpecialRPO(v8::internal::compiler::BasicBlock*, v8::internal::compiler::BasicBlock*)
      1    0.2%    0.2%  v8::internal::compiler::Scheduler::ComputeSpecialRPO(v8::internal::Zone*, v8::internal::compiler::Schedule*)
      1    0.2%    0.2%  v8::internal::compiler::Schedule::PropagateDeferredMark()
      1    0.2%    0.2%  v8::internal::compiler::Schedule::AddNode(v8::internal::compiler::BasicBlock*, v8::internal::compiler::Node*)
      1    0.2%    0.2%  v8::internal::compiler::RegisterAllocationData::NewLiveRange(int, v8::internal::MachineRepresentation)
      1    0.2%    0.2%  v8::internal::compiler::RegisterAllocationData::GetOrCreateLiveRangeFor(int)
      1    0.2%    0.2%  v8::internal::compiler::ReferenceMap::RecordReference(v8::internal::compiler::AllocatedOperand const&)
      1    0.2%    0.2%  v8::internal::compiler::Node::New(v8::internal::Zone*, unsigned int, v8::internal::compiler::Operator const*, int, v8::internal::compiler::Node* const*, bool)
      1    0.2%    0.2%  v8::internal::compiler::MoveOptimizer::Run()
      1    0.2%    0.2%  v8::internal::compiler::LiveRangeBuilder::ProcessPhis(v8::internal::compiler::InstructionBlock const*, v8::internal::BitVector*)
      1    0.2%    0.2%  v8::internal::compiler::LiveRangeBuilder::Define(v8::internal::compiler::LifetimePosition, v8::internal::compiler::InstructionOperand*, void*, v8::internal::compiler::UsePositionHintType)
      1    0.2%    0.2%  v8::internal::compiler::Linkage::ParameterHasSecondaryLocation(int) const
      1    0.2%    0.2%  v8::internal::compiler::LinearScanAllocator::AllocateRegisters()
      1    0.2%    0.2%  v8::internal::compiler::InstructionSequence::InstructionSequence(v8::internal::Isolate*, v8::internal::Zone*, v8::internal::ZoneVector<v8::internal::compiler::InstructionBlock*>*)
      1    0.2%    0.2%  v8::internal::compiler::InstructionSequence::InstructionBlocksFor(v8::internal::Zone*, v8::internal::compiler::Schedule const*)
      1    0.2%    0.2%  v8::internal::compiler::InstructionSequence::GetSourcePosition(v8::internal::compiler::Instruction const*, v8::internal::compiler::SourcePosition*) const
      1    0.2%    0.2%  v8::internal::compiler::InstructionSelector::VisitReturn(v8::internal::compiler::Node*)
      1    0.2%    0.2%  v8::internal::compiler::InstructionSelector::VisitNode(v8::internal::compiler::Node*)
      1    0.2%    0.2%  v8::internal::compiler::InstructionSelector::VisitControl(v8::internal::compiler::BasicBlock*)
      1    0.2%    0.2%  v8::internal::compiler::InstructionSelector::MarkAsDefined(v8::internal::compiler::Node*)
      1    0.2%    0.2%  v8::internal::compiler::InstructionOperand::InterferesWith(v8::internal::compiler::InstructionOperand const&) const
      1    0.2%    0.2%  v8::internal::compiler::GraphReducer::ReduceTop()
      1    0.2%    0.2%  v8::internal::compiler::GapResolver::Resolve(v8::internal::compiler::ParallelMove*) const
      1    0.2%    0.2%  v8::internal::compiler::GapResolver::PerformMove(v8::internal::compiler::ParallelMove*, v8::internal::compiler::MoveOperands*) const
      1    0.2%    0.2%  v8::internal::compiler::CodeAssembler::Label::~Label()
      1    0.2%    0.2%  v8::internal::compiler::CodeAssembler::Label::Bind()
      1    0.2%    0.2%  v8::internal::compiler::BitsetType::Lub(v8::internal::compiler::Type*)
      1    0.2%    0.2%  v8::internal::WeakFixedArray::Add(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::HeapObject>, int*)
      1    0.2%    0.2%  v8::internal::VariableProxy::BindTo(v8::internal::Variable*)
      1    0.2%    0.2%  v8::internal::Variable::Variable(v8::internal::Scope*, v8::internal::AstRawString const*, v8::internal::VariableMode, v8::internal::VariableKind, v8::internal::InitializationFlag, v8::internal::MaybeAssignedFlag)
      1    0.2%    0.2%  v8::internal::UniqueSet<v8::internal::Map>::Add(v8::internal::Unique<v8::internal::Map>, v8::internal::Zone*)
      1    0.2%    0.2%  v8::internal::StringHasher::GetHashField()
      1    0.2%    0.2%  v8::internal::String::IsOneByteEqualTo(v8::internal::Vector<unsigned char const>)
      1    0.2%    0.2%  v8::internal::StoreFastElementStub::GetCallInterfaceDescriptor() const
      1    0.2%    0.2%  v8::internal::SideEffectsTracker::ComputeInobjectField(v8::internal::HObjectAccess, int*)
      1    0.2%    0.2%  v8::internal::ScriptContextTable::Lookup(v8::internal::Handle<v8::internal::ScriptContextTable>, v8::internal::Handle<v8::internal::String>, v8::internal::ScriptContextTable::LookupResult*)
      1    0.2%    0.2%  v8::internal::Scope::DeserializeScopeChain(v8::internal::Isolate*, v8::internal::Zone*, v8::internal::ScopeInfo*, v8::internal::DeclarationScope*, v8::internal::AstValueFactory*, v8::internal::Scope::DeserializationMode)
      1    0.2%    0.2%  v8::internal::Scope::DeclareVariable(v8::internal::Declaration*, v8::internal::VariableMode, v8::internal::InitializationFlag, bool, bool*, bool*)
      1    0.2%    0.2%  v8::internal::Scanner::SkipSingleLineComment()
      1    0.2%    0.2%  v8::internal::Scanner::Scanner(v8::internal::UnicodeCache*)
      1    0.2%    0.2%  v8::internal::Runtime_SetShrink(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.2%  v8::internal::Runtime_SetGrow(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.2%  v8::internal::RelocInfoWriter::Write(v8::internal::RelocInfo const*)
      1    0.2%    0.2%  v8::internal::ParserBase<v8::internal::Parser>::ValidateFormalParameters(v8::internal::LanguageMode, bool, bool*)
      1    0.2%    0.2%  v8::internal::ParserBase<v8::internal::Parser>::ParseTryStatement(bool*)
      1    0.2%    0.2%  v8::internal::ParserBase<v8::internal::Parser>::ParseMemberWithNewPrefixesExpression(bool*, bool*)
      1    0.2%    0.2%  v8::internal::ParserBase<v8::internal::Parser>::ParseIdentifierName(bool*)
      1    0.2%    0.2%  v8::internal::ParserBase<v8::internal::Parser>::ParseFormalParameterList(v8::internal::ParserFormalParameters*, bool*)
      1    0.2%    0.2%  v8::internal::ParserBase<v8::internal::Parser>::ParseExpressionOrLabelledStatement(v8::internal::ZoneList<v8::internal::AstRawString const*>*, v8::internal::AllowLabelledFunctionStatement, bool*)
      1    0.2%    0.2%  v8::internal::ParserBase<v8::internal::Parser>::ParseExpressionCoverGrammar(bool, bool*)
      1    0.2%    0.2%  v8::internal::ParserBase<v8::internal::Parser>::ParseConditionalExpression(bool, bool*)
      1    0.2%    0.2%  v8::internal::ParserBase<v8::internal::Parser>::ParseArguments(v8::internal::Scanner::Location*, bool, bool*)
      1    0.2%    0.2%  v8::internal::ParserBase<v8::internal::Parser>::IsValidReferenceExpression(v8::internal::Expression*)
      1    0.2%    0.2%  v8::internal::ParserBase<v8::internal::Parser>::BindingPatternUnexpectedToken()
      1    0.2%    0.2%  v8::internal::ParserBase<v8::internal::Parser>::ArrowFormalParametersUnexpectedToken()
      1    0.2%    0.2%  v8::internal::Parser::ShortcutNumericLiteralBinaryExpression(v8::internal::Expression**, v8::internal::Expression*, v8::internal::Token::Value, int)
      1    0.2%    0.2%  v8::internal::Parser::SetFunctionNameFromIdentifierRef(v8::internal::Expression*, v8::internal::Expression*)
      1    0.2%    0.2%  v8::internal::Parser::ParseFunctionLiteral(v8::internal::AstRawString const*, v8::internal::Scanner::Location, v8::internal::FunctionNameValidity, v8::internal::FunctionKind, int, v8::internal::FunctionLiteral::FunctionType, v8::internal::LanguageMode, bool*)
      1    0.2%    0.2%  v8::internal::PagedSpace::Available()
      1    0.2%    0.2%  v8::internal::PagedSpace::AllocateRaw(int, v8::internal::AllocationAlignment)
      1    0.2%    0.2%  v8::internal::Object::ArraySpeciesConstructor(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>)
      1    0.2%    0.2%  v8::internal::NewSpace::PauseAllocationObservers()
      1    0.2%    0.2%  v8::internal::MemoryChunk::Initialize(v8::internal::Heap*, unsigned char*, unsigned long, unsigned char*, unsigned char*, v8::internal::Executability, v8::internal::Space*, v8::base::VirtualMemory*)
      1    0.2%    0.2%  v8::internal::Map::WeakCellForMap(v8::internal::Handle<v8::internal::Map>)
      1    0.2%    0.2%  v8::internal::Map::RawCopy(v8::internal::Handle<v8::internal::Map>, int)
      1    0.2%    0.2%  v8::internal::MacroAssembler::Push(v8::internal::Handle<v8::internal::Object>)
      1    0.2%    0.2%  v8::internal::MacroAssembler::MacroAssembler(v8::internal::Isolate*, void*, int, v8::internal::CodeObjectRequired)
      1    0.2%    0.2%  v8::internal::MacroAssembler::JumpIfSmi(v8::internal::Register, v8::internal::Label*, v8::internal::Label::Distance)
      1    0.2%    0.2%  v8::internal::LookupIterator::WriteDataValue(v8::internal::Handle<v8::internal::Object>)
      1    0.2%    0.2%  v8::internal::Label::pos() const
      1    0.2%    0.2%  v8::internal::LInstructionGap::opcode() const
      1    0.2%    0.2%  v8::internal::LGapResolver::BuildInitialMoveList(v8::internal::LParallelMove*)
      1    0.2%    0.2%  v8::internal::LCodeGenBase::PopulateDeoptimizationLiteralsWithInlinedFunctions()
      1    0.2%    0.2%  v8::internal::LCodeGenBase::Comment(char const*, ...)
      1    0.2%    0.2%  v8::internal::LCodeGen::CallKnownFunction(v8::internal::Handle<v8::internal::JSFunction>, int, int, bool, v8::internal::LInstruction*)
      1    0.2%    0.2%  v8::internal::LAllocator::PopulatePointerMaps()
      1    0.2%    0.2%  v8::internal::LAllocator::FindOptimalSplitPos(v8::internal::LifetimePosition, v8::internal::LifetimePosition)
      1    0.2%    0.2%  v8::internal::JSObject::MakePrototypesFast(v8::internal::Handle<v8::internal::Object>, v8::internal::WhereToStart, v8::internal::Isolate*)
      1    0.2%    0.2%  v8::internal::JSObject::IsExtensible(v8::internal::Handle<v8::internal::JSObject>)
      1    0.2%    0.2%  v8::internal::JSObject::HasEnumerableElements()
      1    0.2%    0.2%  v8::internal::IsMoreGeneralElementsKindTransition(v8::internal::ElementsKind, v8::internal::ElementsKind)
      1    0.2%    0.2%  v8::internal::Heap::OnAllocationEvent(v8::internal::HeapObject*, int)
      1    0.2%    0.2%  v8::internal::Heap::AllocateMap(v8::internal::InstanceType, int, v8::internal::ElementsKind)
      1    0.2%    0.2%  v8::internal::Heap::AllocateByteArray(int, v8::internal::PretenureFlag)
      1    0.2%    0.2%  v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape, v8::internal::HashTableKey*>::FindEntry(v8::internal::Isolate*, v8::internal::HashTableKey*)
      1    0.2%    0.2%  v8::internal::Handle<v8::internal::TypeFeedbackMetadata> v8::internal::TypeFeedbackMetadata::New<v8::internal::FeedbackVectorSpec>(v8::internal::Isolate*, v8::internal::FeedbackVectorSpec const*)
      1    0.2%    0.2%  v8::internal::HValue::SetOperandAt(int, v8::internal::HValue*)
      1    0.2%    0.2%  v8::internal::HUseIterator::Advance()
      1    0.2%    0.2%  v8::internal::HTemplateControlInstruction<1, 0>::SuccessorAt(int) const
      1    0.2%    0.2%  v8::internal::HRedundantPhiEliminationPhase::ProcessPhis(v8::internal::ZoneList<v8::internal::HPhi*> const*)
      1    0.2%    0.2%  v8::internal::HPushArguments* v8::internal::HGraphBuilder::Add<v8::internal::HPushArguments, v8::internal::HValue*, v8::internal::HInstruction*>(v8::internal::HValue*, v8::internal::HInstruction*)
      1    0.2%    0.2%  v8::internal::HObjectAccess::SetGVNFlags(v8::internal::HValue*, v8::internal::PropertyAccessType)
      1    0.2%    0.2%  v8::internal::HInferRepresentationPhase::Run()
      1    0.2%    0.2%  v8::internal::HGraph::Optimize(v8::internal::BailoutReason*)
      1    0.2%    0.2%  v8::internal::HGraph::CollectPhis()
      1    0.2%    0.2%  v8::internal::HFlowEngine<v8::internal::HCheckTable, v8::internal::HCheckMapsEffects>::AnalyzeDominatedBlocks(v8::internal::HBasicBlock*, v8::internal::HCheckTable*)
      1    0.2%    0.2%  v8::internal::HEnvironmentLivenessAnalysisPhase::ZapEnvironmentSlotsInSuccessors(v8::internal::HBasicBlock*, v8::internal::BitVector*)
      1    0.2%    0.2%  v8::internal::HEnvironment::AddIncomingEdge(v8::internal::HBasicBlock*, v8::internal::HEnvironment*)
      1    0.2%    0.2%  v8::internal::HDeadCodeEliminationPhase::MarkLiveInstructions()
      1    0.2%    0.2%  v8::internal::HDeadCodeEliminationPhase::MarkLive(v8::internal::HValue*, v8::internal::ZoneList<v8::internal::HValue*>*)
      1    0.2%    0.2%  v8::internal::HConstant::IsDeletable() const
      1    0.2%    0.2%  v8::internal::HComputeChangeUndefinedToNaN::Run()
      1    0.2%    0.2%  v8::internal::FuncNameInferrer::PushVariableName(v8::internal::AstRawString const*)
      1    0.2%    0.2%  v8::internal::FullCodeGenerator::VisitNoStackOverflowCheck(v8::internal::AstNode*)
      1    0.2%    0.2%  v8::internal::FullCodeGenerator::VisitForEffect(v8::internal::Expression*)
      1    0.2%    0.2%  v8::internal::FullCodeGenerator::VisitCallRuntime(v8::internal::CallRuntime*)
      1    0.2%    0.2%  v8::internal::FullCodeGenerator::VarOperand(v8::internal::Variable*, v8::internal::Register)
      1    0.2%    0.2%  v8::internal::FullCodeGenerator::FullCodeGenerator(v8::internal::MacroAssembler*, v8::internal::CompilationInfo*, unsigned long)
      1    0.2%    0.2%  v8::internal::FullCodeGenerator::DeferredCommands::EmitCommands()
      1    0.2%    0.2%  v8::internal::FixedArray::set(int, v8::internal::Object*)
      1    0.2%    0.2%  v8::internal::FastKeyAccumulator::GetKeysFast(v8::internal::GetKeysConversion)
      1    0.2%    0.2%  v8::internal::Factory::NewOrderedHashSet()
      1    0.2%    0.2%  v8::internal::ExpressionClassifier<v8::internal::ParserTypes<v8::internal::Parser> >::Accumulate(v8::internal::ExpressionClassifier<v8::internal::ParserTypes<v8::internal::Parser> >*, unsigned int, bool)
      1    0.2%    0.2%  v8::internal::DuplicateFinder::BackupKey(v8::internal::Vector<unsigned char const>, bool)
      1    0.2%    0.2%  v8::internal::DescriptorArray::CopyFrom(int, v8::internal::DescriptorArray*)
      1    0.2%    0.2%  v8::internal::DeclarationScope::DeclareFunctionVar(v8::internal::AstRawString const*)
      1    0.2%    0.2%  v8::internal::DeclarationScope::DeclareArguments(v8::internal::AstValueFactory*)
      1    0.2%    0.2%  v8::internal::DeclarationScope::DeclarationScope(v8::internal::Zone*, v8::internal::Scope*, v8::internal::ScopeType, v8::internal::FunctionKind)
      1    0.2%    0.2%  v8::internal::DeclarationScope::AllocateParameter(v8::internal::Variable*, int)
      1    0.2%    0.2%  v8::internal::Compiler::GetSharedFunctionInfo(v8::internal::FunctionLiteral*, v8::internal::Handle<v8::internal::Script>, v8::internal::CompilationInfo*)
      1    0.2%    0.2%  v8::internal::CompilationJob::RegisterWeakObjectsInOptimizedCode(v8::internal::Handle<v8::internal::Code>)
      1    0.2%    0.2%  v8::internal::CompareICState::StateToType(v8::internal::Zone*, v8::internal::CompareICState::State, v8::internal::Handle<v8::internal::Map>)
      1    0.2%    0.2%  v8::internal::CodeStub::GetExtraICState() const
      1    0.2%    0.2%  v8::internal::CodeStub::GetCode()
      1    0.2%    0.2%  v8::internal::ChoiceNode::EmitChoices(v8::internal::RegExpCompiler*, v8::internal::AlternativeGenerationList*, int, v8::internal::Trace*, v8::internal::PreloadState*)
      1    0.2%    0.2%  v8::internal::CallInterfaceDescriptor::DebugName(v8::internal::Isolate*) const
      1    0.2%    0.2%  v8::internal::Builtins::InterpreterEntryTrampoline()
      1    0.2%    0.2%  v8::internal::Builtins::Generate_Adaptor(v8::internal::MacroAssembler*, unsigned char*, v8::internal::Builtins::ExitFrameType)
      1    0.2%    0.2%  v8::internal::Builtins::CompileLazy()
      1    0.2%    0.2%  v8::internal::BufferedUtf16CharacterStream::ReadBlock()
      1    0.2%    0.2%  v8::internal::AstValueFactory::AstRawStringCompare(void*, void*)
      1    0.2%    0.2%  v8::internal::AstTyper::NarrowType(v8::internal::Expression*, v8::internal::AstBounds)
      1    0.2%    0.2%  v8::internal::AstTyper::AstTyper(v8::internal::Isolate*, v8::internal::Zone*, v8::internal::Handle<v8::internal::JSFunction>, v8::internal::DeclarationScope*, v8::internal::BailoutId, v8::internal::FunctionLiteral*, v8::internal::AstTypeBounds*)
      1    0.2%    0.2%  v8::internal::AstNumberingVisitor::VisitCallRuntime(v8::internal::CallRuntime*)
      1    0.2%    0.2%  v8::internal::Assembler::xorpd(v8::internal::XMMRegister, v8::internal::XMMRegister)
      1    0.2%    0.2%  v8::internal::Assembler::popq(v8::internal::Register)
      1    0.2%    0.2%  v8::internal::Assembler::jmp(v8::internal::Label*, v8::internal::Label::Distance)
      1    0.2%    0.2%  v8::internal::Assembler::j(v8::internal::Condition, v8::internal::Label*, v8::internal::Label::Distance)
      1    0.2%    0.2%  v8::internal::Assembler::emit_operand(int, v8::internal::Operand const&)
      1    0.2%    0.2%  v8::internal::ArrayList::Add(v8::internal::Handle<v8::internal::ArrayList>, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, v8::internal::ArrayList::AddMode)
      1    0.2%    0.2%  v8::internal::AccountingAllocator::FreeSegment(v8::internal::Segment*)
      1    0.2%    0.2%  v8::base::bits::RoundUpToPowerOfTwo32(unsigned int)
      1    0.2%    0.2%  v8::base::OS::VSNPrintF(char*, int, char const*, __va_list_tag*)
      1    0.2%    0.2%  strchrnul
      1    0.2%    0.2%  std::pair<std::_Rb_tree_iterator<std::pair<int const, v8::internal::compiler::RegisterAllocationData::PhiMapValue*> >, bool> std::_Rb_tree<int, std::pair<int const, v8::internal::compiler::RegisterAllocationData::PhiMapValue*>, std::_Select1st<std::pair<int const, v8::internal::compiler::RegisterAllocationData::PhiMapValue*> >, std::less<int>, v8::internal::zone_allocator<std::pair<int const, v8::internal::compiler::RegisterAllocationData::PhiMapValue*> > >::_M_insert_unique<std::pair<int, v8::internal::compiler::RegisterAllocationData::PhiMapValue*> >(std::pair<int, v8::internal::compiler::RegisterAllocationData::PhiMapValue*>&&)
